antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'yogurt', 'whole milk'})",frozenset({'sausage'}),0.011160863463209249,0.06034886052262247,0.0014702933903628951,0.1317365269461078,2.1829165589087607,1.0,0.0007967479979096469,1.082218898570497,0.5480135908968025,0.02099236641221374,0.07597252152877744,0.07804988030583351
frozenset({'sausage'}),"frozenset({'yogurt', 'whole milk'})",0.06034886052262247,0.011160863463209249,0.0014702933903628951,0.024363233665559245,2.1829165589087607,1.0,0.0007967479979096469,1.0135320548158027,0.5767005043320833,0.02099236641221374,0.01335138316692099,0.07804988030583351
"frozenset({'sausage', 'whole milk'})",frozenset({'yogurt'}),0.008955423377664907,0.08587850030074183,0.0014702933903628951,0.16417910447761194,1.9117602648237413,1.0,0.000701215061130829,1.0936810799973267,0.48123149357217726,0.015748031496062992,0.08565667058769612,0.09064986352285266
frozenset({'yogurt'}),"frozenset({'sausage', 'whole milk'})",0.08587850030074183,0.008955423377664907,0.0014702933903628951,0.017120622568093383,1.911760264823741,1.0,0.000701215061130829,1.0083074275215367,0.5217269935796036,0.015748031496062992,0.008238982769329104,0.09064986352285266
frozenset({'citrus fruit'}),frozenset({'specialty chocolate'}),0.05313105660629553,0.015972732740760543,0.001403461872619127,0.02641509433962264,1.6537617431120233,1.0,0.0005548137052125488,1.0107256814872034,0.41750020166169227,0.020730503455083905,0.010611862035029444,0.057140601563116754
frozenset({'specialty chocolate'}),frozenset({'citrus fruit'}),0.015972732740760543,0.05313105660629553,0.001403461872619127,0.08786610878661087,1.6537617431120233,1.0,0.0005548137052125488,1.0380810893169512,0.4017347770404005,0.020730503455083905,0.036684118137638236,0.057140601563116754
"frozenset({'yogurt', 'sausage'})",frozenset({'whole milk'}),0.005747510525964045,0.15792287642852368,0.0014702933903628951,0.2558139534883721,1.6198663504217148,1.0,0.0005626299957994361,1.1315411347991713,0.38487720520388397,0.009064688916357644,0.11624953857511999,0.13256207619403793
frozenset({'whole milk'}),"frozenset({'yogurt', 'sausage'})",0.15792287642852368,0.005747510525964045,0.0014702933903628951,0.009310198899703767,1.6198663504217146,1.0,0.0005626299957994361,1.0035961694263764,0.45443001443001446,0.009064688916357644,0.0035832833324102613,0.13256207619403793
frozenset({'tropical fruit'}),frozenset({'flour'}),0.0677671589921807,0.009757401590590123,0.0010693042839002875,0.01577909270216963,1.6171408500175628,1.0,0.00040807289896020976,1.0061182312496408,0.4093662628145388,0.01398601398601399,0.00608102612556956,0.06268406689903003
frozenset({'flour'}),frozenset({'tropical fruit'}),0.009757401590590123,0.0677671589921807,0.0010693042839002875,0.10958904109589042,1.6171408500175626,1.0,0.00040807289896020976,1.0469691906703202,0.38538503070797075,0.01398601398601399,0.04486205619885356,0.06268406689903003
frozenset({'beverages'}),frozenset({'sausage'}),0.016574216400454454,0.06034886052262247,0.0015371249081066632,0.09274193548387098,1.5367636551995143,1.0,0.0005368898342838755,1.0357043670683983,0.3551684911876376,0.020390070921985814,0.03447351213692471,0.05910629443075055
frozenset({'sausage'}),frozenset({'beverages'}),0.06034886052262247,0.016574216400454454,0.0015371249081066632,0.02547065337763012,1.536763655199514,1.0,0.0005368898342838755,1.0091289574890792,0.3717143917372751,0.020390070921985814,0.009046373529696195,0.05910629443075055
frozenset({'sausage'}),"frozenset({'whole milk', 'soda'})",0.06034886052262247,0.011628684087415625,0.0010693042839002875,0.017718715393134,1.5237076921118624,1.0,0.00036752644984720253,1.0061998853089782,0.3657805832147938,0.015080113100848258,0.006161683577487595,0.054836369190819884
"frozenset({'whole milk', 'soda'})",frozenset({'sausage'}),0.011628684087415625,0.06034886052262247,0.0010693042839002875,0.09195402298850576,1.5237076921118622,1.0,0.00036752644984720253,1.0348056852472385,0.34775001690445606,0.015080113100848258,0.033634996157682194,0.054836369190819884
